Sample: svediakorp-sec452-NyblomH_FantasierFyra, time period: 1850-1900
Metric	Precision	Recall	F1
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.0000	0.0000	0.0000
VERB	0.8333	0.7143	0.7692
NUM	1.0000	1.0000	1.0000
ADP	0.9000	0.9000	0.9000
AUX	0.6667	1.0000	0.8000
CCONJ	0.7500	0.7500	0.7500
NOUN	0.7857	0.7857	0.7857
SYM	0.0000	0.0000	0.0000
ADJ	0.7778	0.7778	0.7778
PRON	0.7778	0.7778	0.7778
DET	1.0000	1.0000	1.0000
PUNCT	0.8750	0.8750	0.8750
PROPN	1.0000	1.0000	1.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.8519	0.8519	0.8519
Sample: svediakorp-sec988-spf145, time period: 1800-1850
Metric	Precision	Recall	F1
ADV	0.8182	0.9000	0.8571
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.7500	1.0000	0.8571
VERB	0.9130	1.0000	0.9545
NUM	0.0000	0.0000	0.0000
ADP	1.0000	0.8333	0.9091
AUX	1.0000	0.8889	0.9412
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9259	0.8929	0.9091
SYM	0.0000	0.0000	0.0000
ADJ	0.9286	0.9286	0.9286
PRON	1.0000	0.8947	0.9444
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	0.6364	1.0000	0.7778
PART	1.0000	0.8571	0.9231
TOTAL	0.9277	0.9277	0.9277
Sample: svediakorp-sec1063-spf220, time period: 1850-1900
Metric	Precision	Recall	F1
ADV	0.8750	0.7778	0.8235
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	1.0000	0.8333	0.9091
VERB	1.0000	1.0000	1.0000
NUM	0.0000	0.0000	0.0000
ADP	0.9167	1.0000	0.9565
AUX	0.7500	1.0000	0.8571
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9524	1.0000	0.9756
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	1.0000	1.0000
PRON	1.0000	0.9600	0.9796
DET	1.0000	1.0000	1.0000
PUNCT	1.0000	1.0000	1.0000
PROPN	0.0000	0.0000	0.0000
PART	1.0000	1.0000	1.0000
TOTAL	0.9728	0.9728	0.9728
----------------------------------------------------------------------
Average scores for time period 1700-1750(3 samples with a total of 15 sentences):
Metric	Precision	Recall	F1
ADV	0.6873	0.6111	0.6436
INTJ	0.1667	0.3333	0.2222
X	0.0000	0.0000	0.0000
SCONJ	0.5714	0.4564	0.4969
VERB	0.8035	0.8235	0.8128
NUM	0.2778	0.2778	0.2778
ADP	0.9351	0.7522	0.8272
AUX	0.6429	0.3025	0.3629
CCONJ	0.9349	0.9076	0.9206
NOUN	0.6564	0.8671	0.7399
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	0.6510	0.7728
PRON	0.9748	0.6779	0.7619
DET	1.0000	0.6875	0.7655
PUNCT	0.9589	1.0000	0.9785
PROPN	0.3036	0.6190	0.3993
PART	0.2667	0.1905	0.2222
TOTAL	0.7713	0.7782	0.7747

Average scores for time period 1750-1800(2 samples with a total of 17 sentences):
Metric	Precision	Recall	F1
ADV	0.6404	0.6324	0.6337
INTJ	0.5294	0.5294	0.5294
X	0.0000	0.0000	0.0000
SCONJ	0.6975	0.5581	0.6118
VERB	0.6353	0.6743	0.6542
NUM	0.0000	0.0000	0.0000
ADP	0.6831	0.7067	0.6946
AUX	0.6618	0.5104	0.5703
CCONJ	0.5826	0.6349	0.6072
NOUN	0.6666	0.6546	0.6605
SYM	0.0000	0.0000	0.0000
ADJ	0.6465	0.5833	0.6133
PRON	0.6838	0.6455	0.6639
DET	0.7635	0.7574	0.7604
PUNCT	0.6676	0.6824	0.6749
PROPN	0.4863	0.7731	0.5959
PART	0.7882	0.6691	0.7232
TOTAL	0.6568	0.6568	0.6568

Average scores for time period 1800-1850(6 samples with a total of 28 sentences):
Metric	Precision	Recall	F1
ADV	0.9073	0.9409	0.9209
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.5115	0.6071	0.5519
VERB	0.8839	0.9116	0.8963
NUM	0.3929	0.3929	0.3929
ADP	0.9714	0.9595	0.9637
AUX	0.8893	0.8525	0.8646
CCONJ	0.8827	0.9018	0.8919
NOUN	0.9246	0.9344	0.9287
SYM	0.0000	0.0000	0.0000
ADJ	0.8920	0.9145	0.8920
PRON	0.9681	0.8875	0.9248
DET	1.0000	0.9702	0.9838
PUNCT	0.9866	0.9866	0.9866
PROPN	0.6464	0.8214	0.7168
PART	1.0000	0.9546	0.9758
TOTAL	0.9360	0.9348	0.9354

Average scores for time period 1850-1900(5 samples with a total of 24 sentences):
Metric	Precision	Recall	F1
ADV	0.8774	0.9031	0.8883
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.8313	0.9286	0.8433
VERB	0.9601	0.9546	0.9559
NUM	0.3333	0.3333	0.3333
ADP	0.9792	0.9826	0.9801
AUX	0.6979	0.6786	0.6789
CCONJ	1.0000	1.0000	1.0000
NOUN	0.9585	0.9937	0.9757
SYM	0.0000	0.0000	0.0000
ADJ	1.0000	0.9609	0.9784
PRON	0.9840	0.9751	0.9788
DET	0.9826	1.0000	0.9909
PUNCT	1.0000	1.0000	1.0000
PROPN	0.7500	0.7500	0.7500
PART	1.0000	1.0000	1.0000
TOTAL	0.9704	0.9704	0.9704

Average scores for time period 1900-1950(5 samples with a total of 25 sentences):
Metric	Precision	Recall	F1
ADV	0.9561	0.9592	0.9572
INTJ	0.0000	0.0000	0.0000
X	0.0000	0.0000	0.0000
SCONJ	0.9333	0.9000	0.9029
VERB	0.9693	0.9738	0.9709
NUM	0.2000	0.2000	0.2000
ADP	0.9728	0.9679	0.9699
AUX	0.9333	0.8400	0.8790
CCONJ	1.0000	0.9765	0.9875
NOUN	0.9759	0.9974	0.9864
SYM	0.0000	0.0000	0.0000
ADJ	0.9483	0.9651	0.9560
PRON	0.9773	0.9729	0.9743
DET	0.9889	0.9750	0.9810
PUNCT	1.0000	1.0000	1.0000
PROPN	0.8000	0.8000	0.8000
PART	0.9000	1.0000	0.9333
TOTAL	0.9736	0.9736	0.9736

